SiteID,Lat,Long,Elev,MTAnn,Pann,pH,OrgC,NTOT,PTOT,K,Clay,Silt,Sand,Sdep
ES07,-33.4747,122.1214,195,15.5,464,5.9,0.59,0.03,17,0.12,1.6,2.6,95.8,1
ES08,-33.4583,122.1406,271,15.1,467,6.3,0.93,0.037,11,0.17,1,2.4,96.6,1
ES09,-33.4847,122.2408,148,15.8,462,5.9,0.86,0.031,1,0.07,1.7,1.9,96.5,2
ES11,-33.7314,122.2972,115,15.7,580,5.5,2.99,0.144,80,0.04,1.8,1.4,96.8,9
ES14,-33.2923,122.1191,279,15.3,417,6,1.38,0.078,79,0.17,2.3,2.5,95.2,2
ES15,-33.2923,122.122,287,15.2,418,6,2.7,0.18,83,0.45,3.7,2.4,93.9,2
ES16,-33.2905,122.1253,294,15.2,419,6.6,2.25,0.104,80,0.54,1.4,4.7,93.9,1
ES17,-33.2854,122.119,270,15.3,414,6,0.76,0.036,26,0.24,2.7,3.6,93.8,2
ES18,-33.2784,122.1097,239,15.5,407,8,1.08,0.041,20,0.51,2.2,2.8,95,1
ES19,-33.6173,122.4068,151,15.6,516,5.7,0.84,0.024,10,0.06,0.6,1.6,97.8,2
ES20,-33.437,122.3931,169,15.7,453,6.3,2.36,0.057,61,0.34,2.7,1.8,95.5,9
ES21,-33.4364,122.3942,171,15.7,453,6,2.39,0.043,35,0.29,4.3,0.8,94.9,9
ES22,-33.3979,122.4347,278,15.2,458,6.4,0.7,0.032,26,0.25,2.1,4.5,93.4,2
ES23,-33.4064,122.4256,250,15.3,456,7.8,1.91,0.077,35,0.78,2.3,4.6,93,2
ES24,-33.4115,122.4218,237,15.4,455,6.9,1.9,0.053,35,0.44,4.3,5.9,89.8,2
GP01,-33.3483,120.8725,257,15.7,363,6.2,0.84,0.025,11,0.12,2.1,2.5,95.4,2
GP02,-33.3669,120.9953,242,15.7,367,6.2,1.27,0.068,28,0.3,2.5,3.7,93.8,2
GP03,-33.2578,121.0964,229,15.9,346,8.4,2.02,0.093,42,1.84,2.9,5.6,91.5,2
GP04,-33.1586,121.0008,231,16,325,7.2,1.79,0.07,68,0.55,1.8,2.2,96,9
GP06,-33.1128,121.1931,237,15.9,328,5.8,0.46,0.022,1,0.05,1.8,1.7,96.6,9
GP07,-33.2056,121.3022,191,16,345,6.9,1.81,0.096,170,1.39,5.4,6.7,87.9,1
GP08,-33.3858,121.5822,179,15.8,397,7.6,1.2,0.041,13,0.15,1.1,2.5,96.4,2
GP09,-33.5172,121.5592,143,15.9,445,8,1.1,0.044,17,0.36,2,3.3,94.7,3
GP10,-33.5089,121.4669,144,15.9,439,7.9,1.09,0.051,23,0.79,4.4,5.1,90.4,2
GP12,-33.4753,121.2361,171,15.9,415,6.4,0.97,0.038,12,0.1,3.2,1.5,95.4,1
GP13,-33.7225,121.0656,76,16.2,501,5.6,0.67,0.03,14,0.11,2.7,2.2,95.2,2
