SiteID,Lat,Long,SpCode,CC,Family,Genus,Species,Name,lifeform
YO17,-31.7874,116.5885,CHEAUS,,Adiantaceae,Cheilanthes,austrotenuifolia,Cheilanthes austrotenuifolia,fern
BE14,-30.5026,117.5618,TETDIP,,Aizoaceae,Tetragonia,diptera,Tetragonia diptera,perennial herb
DA24,-33.4946,117.2546,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
DU06,-33.3789,117.6419,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
DU07,-33.7186,117.855,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
DU19,-33.7155,117.8539,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
ES16,-33.2905,122.1253,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
GP07,-33.2056,121.3022,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
GP14,-33.3932,121.6507,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
GP15,-33.1628,120.9702,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
GP15,-33.1628,120.9702,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
GP16,-33.1609,120.9939,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
GP16,-33.1609,120.9939,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
GP23,-33.3711,120.7806,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
GP25,-33.2692,121.6428,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
HY62,-32.6446,119.3884,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
HY63,-32.644,119.3826,GUNINT,,Aizoaceae,Gunniopsis,intermedia,Gunniopsis intermedia,NA
HY63,-32.644,119.3826,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
